field	data_type	data_format
source_url	string	url
source_name	string	default
sequence_unite_accno	string	UDB%s
source_created_at	string:date	%Y-%m-%d
sh_code	string	SH%s-%sFU
sh_date_created	string:date	%Y-%m-%d
source_deposited_in_acronym	string	default
source_deposited_in_name	string	default
taxon_id	integer	default
kingdom	string	default
phylum	string	default
class	string	default
order	string	default
family	string	default
genus	string	default
taxon_name	string	default
intraspecific_epithet	string	default
unitetaxon_name_author	string	default
sequence_identification_remarks	string	default
taxon_rank	string	default
sequence_identification_determiners	string	default
source_sex	string	default
source_transformation_stage	string	default
source_remarks	string	default
type_status	string	default
source_type	string	default
interacting_objects_specimens	string	default
interacting_objects_taxa	string	default
samplingevent_collected_by	string	default
samplingevent_timespan_begin	string:date	%Y-%m-%d
samplingevent_timespan_end	string:date	%Y-%m-%d
samplingevent_id	integer	default
samplingevent_description	string	default
samplingarea_country	string	default
samplingarea_state	string	default
samplingarea_district	string	default
samplingarea_commune_or_city	string	default
samplingarea_locality_text	string	default
samplingarea_parent_samplingarea_name	string	default
samplingarea_latitude	decimal	default
samplingarea_longitude	decimal	default
samplingarea_accuracy	float	default
samplingarea_method	string	default
samplingarea_elevation_min	float	default
samplingarea_elevation_max	float	default
samplingarea_elevation_min_accuracy	float	default
samplingarea_depth_min	float	default
samplingarea_depth_max	float	default
samplingarea_depth_min_accuracy	float	default
samplingevent_broad_scale_enviromental_context	string	default
samplingevent_local_enviromental_context	string	default
samplingevent_sampling_protocol	string	default
sequence	string	default
sequence_insd_accno	string	default
sequence_sequenced_regions	string	default
forw_primer_name	string	default
forw_primer_sequence	string	default
sequence.rev_primer_name	string	default
sequence.rev_primer_sequence	string	default
sequence_origin	string	default
sequence_created_at	string:date	%Y-%m-%d
sequence_project_name	string	default
